,ext,neu,agr,con,opn,success
0,0,1,0,1,1,0
1,1,1,0,0,1,0
2,1,1,0,0,1,0
3,1,1,0,1,1,0
4,1,1,0,0,1,0
5,1,1,0,0,1,0
6,1,1,0,0,1,1
7,1,1,0,0,1,1
8,1,1,0,1,1,1
9,1,1,0,0,1,1
10,1,1,0,0,1,1
11,1,1,0,0,1,0
12,1,1,0,0,1,1
13,1,1,0,0,1,1
14,1,1,0,0,1,1
15,1,1,1,1,1,1
16,1,1,0,0,1,1
17,1,1,0,0,1,1
18,0,1,0,1,1,1
19,0,1,0,0,1,1
20,0,1,0,0,1,1
21,1,1,0,0,1,1
22,1,1,0,0,1,1
23,1,1,0,1,1,1
24,0,1,0,0,1,1
25,1,1,0,0,1,1
26,1,1,0,1,1,1
27,0,1,0,1,1,0
28,1,1,0,0,1,1
29,1,1,0,1,1,1
30,1,1,0,0,1,1
31,1,1,0,1,1,1
32,1,1,0,1,1,1
33,1,1,0,0,1,1
34,1,1,0,1,1,1
35,1,1,0,1,1,1
36,1,1,0,0,1,1
37,1,1,0,1,1,0
38,0,1,0,0,1,1
39,1,1,0,0,1,1
40,1,1,0,0,1,1
41,1,1,0,0,1,1
42,1,1,1,1,1,1
43,1,1,0,1,1,1
44,0,1,0,1,1,1
45,1,1,0,0,1,1
46,0,1,0,0,1,1
47,1,1,0,0,1,1
48,1,1,0,1,1,1
49,1,1,0,0,1,1
50,1,1,0,0,1,1
51,1,1,0,0,1,1
52,1,1,0,0,1,0
53,1,1,0,0,1,1
54,1,1,0,1,1,1
55,0,1,0,1,1,1
56,1,1,0,0,1,1
57,1,1,1,0,1,1
58,1,1,0,0,1,1
59,1,1,0,1,1,1
60,1,1,0,0,1,0
61,1,1,0,1,1,1
62,1,1,0,1,1,0
63,1,1,0,1,1,1
64,1,1,0,0,1,0
65,1,1,0,0,1,1
66,1,1,0,1,1,0
67,1,1,0,0,1,0
68,1,1,0,0,1,1
69,1,1,0,0,1,1
70,0,1,1,1,1,1
71,1,1,1,1,1,0
72,1,1,0,0,1,1
73,1,1,0,0,1,1
74,1,1,1,1,1,1
75,1,1,1,1,1,1
76,1,1,1,1,1,1
77,1,1,0,0,1,0
78,1,1,0,0,1,0
79,1,1,0,1,1,1
80,1,1,1,0,1,1
81,1,1,1,1,1,0
82,1,1,0,0,1,1
83,0,1,0,0,1,1
84,1,1,0,0,1,1
85,1,1,0,0,1,0
86,1,1,0,0,1,0
87,1,1,0,1,1,0
88,1,1,0,0,1,1
89,1,1,0,1,1,1
90,1,1,1,0,1,0
91,1,1,0,0,1,1
92,1,1,1,0,1,0
93,1,1,0,0,1,0
94,1,1,1,1,1,1
95,1,0,0,0,1,0
96,1,1,1,1,1,0
97,1,1,1,0,1,1
98,1,1,0,0,1,0
99,1,1,0,0,1,1
100,1,0,0,0,1,0
101,1,1,0,0,1,1
102,1,1,0,0,1,1
103,1,1,0,0,1,0
104,1,1,0,0,1,1
105,1,1,0,0,1,0
106,1,1,1,1,1,1
107,0,1,1,1,1,0
108,1,1,1,0,1,1
109,1,1,0,1,1,1
110,0,1,0,1,1,1
111,1,1,0,0,1,1
112,1,1,0,0,1,1
113,1,1,0,1,1,1
114,1,1,1,0,1,0
115,1,1,0,0,1,1
116,1,1,0,0,1,0
117,1,1,0,1,1,0
118,1,1,0,0,1,1
119,1,1,0,0,1,0
120,0,1,1,1,1,1
121,1,1,0,0,1,1
122,1,1,0,0,1,1
123,1,1,0,0,1,0
124,1,1,0,0,1,1
125,1,1,0,0,1,1
126,1,1,0,1,1,0
127,1,1,0,0,1,0
128,1,1,0,0,1,1
129,1,1,0,0,1,1
130,1,1,0,0,1,0
131,1,1,0,0,1,0
132,1,1,0,1,1,1
133,1,1,0,0,1,0
134,1,1,0,0,1,0
135,1,1,1,0,1,1
136,0,1,0,1,1,0
137,1,1,1,1,1,1
138,1,1,0,1,1,1
139,1,1,0,0,1,1
